iter	Passed	Remaining
792	18042	4709
793	18063	4686
794	18086	4663
795	18109	4641
796	18130	4618
797	18153	4595
798	18174	4572
799	18197	4549
800	18218	4526
801	18242	4503
802	18265	4481
803	18288	4458
804	18310	4435
805	18332	4412
806	18355	4389
807	18377	4366
808	18399	4344
809	18420	4320
810	18443	4298
811	18464	4275
812	18488	4252
813	18515	4230
814	18541	4208
815	18565	4186
816	18587	4163
817	18609	4140
818	18631	4117
819	18653	4094
820	18675	4071
821	18697	4048
822	18720	4026
823	18741	4003
824	18764	3980
825	18796	3959
826	18817	3936
827	18841	3913
828	18862	3890
829	18885	3868
830	18906	3844
831	18928	3822
832	18953	3799
833	18974	3776
834	18998	3754
835	19020	3731
836	19056	3711
837	19079	3688
838	19102	3665
839	19125	3642
840	19146	3619
841	19169	3597
842	19191	3574
843	19214	3551
844	19236	3528
845	19259	3505
846	19294	3485
847	19317	3462
848	19340	3439
849	19362	3416
850	19384	3393
851	19407	3371
852	19429	3348
853	19452	3325
854	19473	3302
855	19502	3280
856	19528	3258
857	19552	3235
858	19575	3213
859	19596	3190
860	19618	3167
861	19639	3144
862	19661	3121
863	19682	3098
864	19705	3075
865	19726	3052
866	19748	3029
867	19770	3006
868	19793	2983
869	19831	2963
870	19854	2940
871	19876	2917
872	19898	2894
873	19921	2871
874	19942	2848
875	19965	2826
876	19986	2803
877	20008	2780
878	20031	2757
879	20053	2734
880	20074	2711
881	20097	2688
882	20118	2665
883	20141	2642
884	20163	2620
885	20184	2597
886	20207	2574
887	20228	2551
888	20251	2528
889	20274	2505
890	20307	2484
891	20327	2461
892	20350	2438
893	20371	2415
894	20394	2392
895	20418	2370
896	20442	2347
897	20463	2324
898	20489	2301
899	20515	2279
900	20539	2256
901	20561	2233
902	20584	2211
903	20605	2188
904	20627	2165
905	20654	2142
906	20676	2120
907	20697	2097
908	20720	2074
909	20741	2051
910	20764	2028
911	20787	2005
912	20810	1983
913	20834	1960
914	20863	1938
915	20895	1916
916	20921	1893
917	20949	1871
918	20975	1848
919	21003	1826
920	21028	1803
921	21054	1781
922	21081	1758
923	21103	1735
924	21125	1712
925	21147	1689
926	21168	1666
927	21190	1644
928	21211	1621
929	21234	1598
930	21257	1575
931	21280	1552
932	21303	1529
933	21325	1506
934	21348	1484
935	21369	1461
936	21391	1438
937	21413	1415
938	21437	1392
939	21460	1369
940	21488	1347
941	21518	1324
942	21542	1302
943	21566	1279
944	21599	1257
945	21625	1234
946	21648	1211
947	21670	1188
948	21692	1165
949	21714	1142
950	21737	1119
951	21758	1097
952	21780	1074
953	21803	1051
954	21825	1028
955	21848	1005
956	21871	982
957	21892	959
958	21915	936
959	21936	914
960	21958	891
961	21981	868
962	22002	845
963	22025	822
964	22048	799
965	22070	776
966	22093	753
967	22115	731
968	22138	708
969	22159	685
970	22182	662
971	22204	639
972	22226	616
973	22248	593
974	22271	571
975	22292	548
976	22315	525
977	22338	502
978	22359	479
979	22383	456
980	22405	433
981	22428	411
982	22450	388
983	22473	365
984	22500	342
985	22527	319
986	22550	297
987	22573	274
988	22594	251
989	22618	228
990	22641	205
991	22664	182
992	22686	159
993	22709	137
994	22731	114
995	22754	91
996	22775	68
997	22797	45
998	22819	22
999	22843	0
